id;title;imdbID;rtAllCriticsRating;rtAllCriticsNumReviews;rtAllCriticsNumFresh;rtAllCriticsNumRotten;rtAllCriticsScore;rtTopCriticsRating;rtTopCriticsNumReviews;rtTopCriticsNumFresh;rtTopCriticsNumRotten;rtTopCriticsScore;rtAudienceRating;rtAudienceNumRatings;rtAudienceScore
1;Toy story;114709;9;73;73;0;100;8.5;17;17;0;100;3.7;102338;81
2;Jumanji;113497;5.6;28;13;15;46;5.8;5;2;3;40;3.2;44587;61
3;Grumpy Old Men;107050;5.9;36;24;12;66;7;6;5;1;83;3.2;10489;66
4;Waiting to Exhale;114885;5.6;25;14;11;56;5.5;11;5;6;45;3.3;5666;79
5;Father of the Bride Part II;113041;5.3;19;9;10;47;5.4;5;1;4;20;3;13761;64
6;Heat;113277;7.7;58;50;8;86;7.2;17;14;3;82;3.9;42785;92
7;Sabrina;47437;7.4;31;28;3;90;7.2;5;5;0;100;3.8;12812;87
8;Tom and Huck;112302;4.2;8;2;6;25;0;2;1;1;50;2.7;2649;45
9;Sudden Death;114576;5.2;32;17;15;53;5.6;9;5;4;55;2.6;3626;40
10;GoldenEye;113189;6.8;41;33;8;80;6.2;11;7;4;63;3.4;28260;78
11;The American President;112346;7;49;44;5;89;7.2;18;16;2;88;3.2;8320;71
12;Dracula: Dead and Loving It;112896;3;35;3;32;8;3.7;10;2;8;20;2.8;10078;52
13;Balto;112453;5.8;12;6;6;50;0;4;1;3;25;3.2;9195;66
14;Nixon;113987;6.7;56;42;14;75;6.1;18;12;6;66;3.5;3256;72
15;Cutthroat Island;112760;4.4;31;14;17;45;4.7;6;3;3;50;2.6;3350;42
16;Casino;112641;7.2;58;47;11;81;6.3;16;11;5;68;3.9;66463;91
17;Sense and Sensibility;114388;7.9;49;48;1;97;8.1;14;13;1;92;3.8;32782;88
18;Four Rooms;113101;3.5;42;6;36;14;2.9;11;0;11;0;3.5;14266;72
19;Ace Ventura: When Nature Calls;112281;4.1;25;9;16;36;0;3;1;2;33;3.2;87306;73
20;Money Train;113845;4;24;4;20;16;4.5;5;1;4;20;2.7;5263;38
21;Get Shorty;113161;7.7;49;42;7;85;8.4;14;14;0;100;3.2;10155;63
22;Copycat;112722;6.6;32;24;8;75;7.4;5;4;1;80;3.1;5628;58
23;Ninja Assassin;1186367;4.3;106;27;79;25;4.6;20;6;14;30;3.4;107023;58
24;Powder;114168;5.2;19;9;10;47;4.9;5;0;5;0;3.1;6650;67
25;Leaving Las Vegas;113627;7.7;45;40;5;88;8.1;11;11;0;100;3.6;12742;82
26;Othello;114057;6.3;38;26;12;68;6.1;11;7;4;63;3.3;2018;66
27;Now and Then;114011;4.7;16;3;13;18;5.2;5;1;4;20;3.5;17168;78
28;Persuasion;114117;7.7;23;19;4;82;8.5;9;9;0;100;3.9;7968;82
29;La cité des enfants perdus;112682;7;33;27;6;81;7.2;7;5;2;71;4;22420;89
30;Yao a yao yao dao waipo qiao;115012;6.8;21;18;3;85;0;4;3;1;75;3.6;1061;70
31;Dangerous Minds;112792;4.7;37;11;26;29;5;12;5;7;41;3.1;12136;66
32;Twelve Monkeys;114746;0;0;0;0;0;0;0;0;0;0;0;0;0
33;Wings of Courage;114952;0;4;2;2;50;0;2;1;1;50;0;0;0
34;Babe;112431;8.2;54;53;1;98;8.2;11;11;0;100;3;22954;54
35;Carrington;112637;6.2;19;9;10;47;7.4;5;4;1;80;3.5;781;68
36;Dead Man Walking;112818;8.2;53;50;3;94;7.9;20;18;2;90;3.6;15450;81
37;Across the Sea of Time;112286;0;4;2;2;50;0;1;0;1;0;2.9;237;27
38;It Takes Two;113442;3.9;24;2;22;8;4.6;8;2;6;25;2.9;16311;63
39;Clueless;112697;0;0;0;0;0;0;0;0;0;0;0;0;0
40;Cry, the Beloved Country;112749;7.2;13;10;3;76;0;4;3;1;75;3.5;520;66
41;Richard III;114279;8.1;43;41;2;95;7.6;11;10;1;90;3.7;1552;82
42;Dead Presidents;112819;5.7;31;14;17;45;6.3;12;7;5;58;3.3;4475;75
43;Restoration;114272;6.3;31;21;10;67;6.4;10;6;4;60;3.3;1103;56
44;Mortal Kombat;113855;4.4;26;9;17;34;3.9;6;2;4;33;2.8;18291;55
45;Live Free or Die Hard;337978;6.8;197;161;36;81;6.7;38;30;8;78;3.9;1145097;86
46;How to Make an American Quilt;113347;5.6;22;11;11;50;7.6;6;5;1;83;3.2;2626;58
47;Shichinin no samurai;47478;9.2;49;49;0;100;8.6;10;10;0;100;4.5;29509;97
48;Pocahontas;114148;6;49;27;22;55;6.6;14;10;4;71;3.2;37858;63
49;When Night Is Falling;114916;5.7;16;8;8;50;0;4;1;3;25;3.9;1132;83
50;The Usual Suspects;114814;7.5;47;41;6;87;6.9;14;12;2;85;4.2;109588;95
52;Mighty Aphrodite;113819;6.7;33;25;8;75;7.2;6;4;2;66;3.3;4866;69
53;Lamerica;110299;8;10;9;1;90;0;1;1;0;100;3.9;239;82
54;The Big Green;112499;2.8;5;0;5;0;0;1;0;1;0;2.7;2596;47
55;Georgia Rule;791304;3.8;116;20;96;17;3.4;30;2;28;6;3;64056;55
56;Kids of the Round Table;113541;0;0;0;0;0;0;0;0;0;0;0;0;0
57;Home for the Holidays;113321;6;44;28;16;63;5.7;11;5;6;45;3.4;3045;69
58;Il postino;110877;7.9;25;23;2;92;0;4;4;0;100;4.1;5794;92
59;Le confessionnal;112714;0;1;1;0;100;0;0;0;0;0;0;0;0
60;The Indian in the Cupboard;113419;6.2;19;13;6;68;0;2;1;1;50;2.7;5127;41
61;Eye for an Eye;116260;0;0;0;0;0;0;0;0;0;0;0;0;0
62;Mr. Holland's Opus;113862;6.7;26;19;7;73;7.5;6;5;1;83;3.5;9569;79
63;Don't Be a Menace to South Central While Drinking Your Juice in the Hood;116126;4.5;24;7;17;29;5.6;7;3;4;42;0;0;0
64;Two If by Sea;118002;3.9;27;3;24;11;0;4;0;4;0;2.6;1608;29
65;Bio-Dome;115683;1.9;21;1;20;4;2;7;0;7;0;2.6;8972;51
66;Lawnmower Man 2: Beyond Cyberspace;116839;2.8;9;1;8;11;0;3;1;2;33;2.1;952;18
67;Two Bits;114753;5;10;4;6;40;0;4;1;3;25;3.3;685;54
68;Gazon maudit;113149;6.1;10;5;5;50;0;4;1;3;25;3.4;597;58
69;Friday;113118;0;0;0;0;0;0;0;0;0;0;0;0;0
70;From Dusk Till Dawn;116367;6;43;27;16;62;4.9;10;5;5;50;3.4;36073;75
71;Fair Game;113010;2.4;24;3;21;12;3.1;8;1;7;12;2.1;1761;16
72;Kicking & Screaming;384642;5.1;137;57;80;41;5;31;12;19;38;3;14260;51
73;Les misérables;119683;6.9;41;31;10;75;6.6;11;6;5;54;3.6;7310;81
74;Bed of Roses;115644;5.3;14;3;11;21;5.2;5;1;4;20;3.2;3163;66
75;Big Bully;115676;2.8;7;0;7;0;0;2;0;2;0;2.4;1459;23
76;Screamers;114367;4.7;30;9;21;30;4.9;9;2;7;22;3;2070;45
77;Nico Icon;113973;7.1;13;11;2;84;8;5;4;1;80;4;87;85
78;The Crossing Guard;112744;6.5;27;20;7;74;0;4;2;2;50;3.3;2170;56
79;The Juror;116731;4.4;19;3;16;15;4.3;6;1;5;16;2.8;2266;39
80;Badkonake sefid;112445;6.8;20;16;4;80;6.6;8;6;2;75;4;547;86
81;Things to Do in Denver When You're Dead;114660;4.9;27;9;18;33;5.5;5;1;4;20;3.5;3197;72
82;Antonia;112379;6.5;25;16;9;64;7.8;10;9;1;90;4.2;1707;90
83;Once Upon a Time... When We Were Colored;114039;7.3;14;10;4;71;7.9;5;5;0;100;3.7;414;76
84;Last Summer in the Hamptons;113612;5.6;15;9;6;60;0;2;2;0;100;3.3;89;47
85;Angels and Insects;112365;6.5;20;14;6;70;8.1;5;5;0;100;3.3;635;62
86;White Squall;118158;5.8;30;19;11;63;6.3;10;7;3;70;3.2;3184;62
87;Dunston Checks In;116151;3.8;15;1;14;6;0;4;1;3;25;2.5;2935;39
88;Black Sheep;779982;6.4;87;61;26;70;6.3;21;15;6;71;3.2;19454;54
89;Nick of Time;113972;4.6;28;8;20;28;3.8;5;0;5;0;3.1;10563;54
90;The Journey of August King;113490;6.2;7;4;3;57;0;2;1;1;50;3.1;286;54
92;Mary Reilly;117002;4.4;41;11;30;26;4.6;9;2;7;22;2.8;3733;41
93;Vampire in Brooklyn;114825;3.6;28;3;25;10;3.1;9;0;9;0;2.4;6122;37
94;Beautiful Girls;115639;7;46;36;10;78;6.3;14;9;5;64;3.6;4674;79
95;Broken Arrow;115759;5.8;29;16;13;55;6.1;6;3;3;50;2.9;12489;51
96;In the Bleak Midwinter;113403;7.3;19;17;2;89;0;3;2;1;66;4.1;309;88
97;La haine;113247;8;14;14;0;100;0;4;4;0;100;4.3;11987;95
98;Going Shopping;295605;5;29;12;17;41;5;15;5;10;33;2.8;691;37
99;Heidi Fleiss: Hollywood Madam;113283;7.5;7;5;2;71;8.8;5;4;1;80;3;281;46
100;City Hall;115907;6.1;22;12;10;54;7;6;3;3;50;3;2730;42
101;Bottle Rocket;115734;6.6;42;33;9;78;6.1;9;5;4;55;3.7;16217;80
102;Mr. Wrong;117102;3.1;28;1;27;3;3.1;8;0;8;0;2.4;1544;29
103;Unforgettable;118040;4.4;26;6;20;23;0;4;0;4;0;3;358;36
104;Happy Gilmore;116483;5.5;50;29;21;58;5.1;11;4;7;36;3.7;114875;83
105;The Bridges of Madison County;112579;7.2;40;36;4;90;7.9;9;9;0;100;3.6;11573;83
106;Keiner liebt mich;110251;6;6;4;2;66;0;1;1;0;100;4.2;161;89
107;Muppet Treasure Island;117110;6.1;22;15;7;68;7.4;5;4;1;80;3.2;8588;68
110;Braveheart;112573;7;48;37;11;77;6.7;16;12;4;75;3.8;204275;83
111;Taxi Driver;75314;8.7;50;49;1;98;7.7;9;8;1;88;4.1;58145;93
112;Hung fan kui;113326;6.4;52;41;11;78;6.5;16;13;3;81;3.1;7517;62
113;Before and After;115645;4.8;19;6;13;31;5.7;5;2;3;40;3;1276;39
114;Margaret's Museum;113774;6.9;6;4;2;66;0;1;1;0;100;3.7;500;76
115;Le bonheur est dans le pré;112556;0;0;0;0;0;0;0;0;0;0;0;0;0
116;Anne Frank Remembered;112373;7.8;27;26;1;96;7.6;16;15;1;93;3.7;1076;79
117;The Young Poisoner's Handbook;115033;7.1;13;11;2;84;0;3;3;0;100;3.7;541;79
118;If Lucy Fell;116606;4;26;5;21;19;4.3;9;2;7;22;3.1;1202;49
119;Steal Big Steal Little;114536;4.5;13;2;11;15;0;3;0;3;0;2.9;555;36
120;Race the Sun;117427;4.8;9;2;7;22;0;3;0;3;0;2.9;822;40
121;The Boys of St. Vincent;106473;8.2;6;6;0;100;0;1;1;0;100;3.5;401;77
122;Boomerang;103859;4.8;27;10;17;37;5.4;8;4;4;50;2.8;4751;55
123;Chung Hing sam lam;109424;7.7;27;26;1;96;6.8;7;6;1;85;4.2;11068;93
124;L'uomo delle stelle;114808;6.5;12;9;3;75;7;5;4;1;80;3.7;543;73
125;Flirting with Disaster;116324;7.4;42;36;6;85;8.5;6;6;0;100;3.3;2127;65
126;The Neverending Story III;110647;0;3;1;2;33;0;0;0;0;0;0;0;0
128;Jupiter's Wife;110217;0;4;3;1;75;0;1;0;1;0;0;0;0
129;Pie in the Sky;114131;0;2;1;1;50;0;0;0;0;0;0;0;0
130;Angela's Ashes;145653;5.7;84;44;40;52;5.3;26;10;16;38;3.6;4588;79
131;Frankie Starlight;113107;5.8;6;4;2;66;0;1;1;0;100;3.8;133;61
132;The Curse of the Jade Scorpion;256524;5.2;122;55;67;45;5;36;14;22;38;3.1;4108;52
134;Sonic Outlaws;114500;0;3;2;1;66;0;0;0;0;0;0;0;0
135;Down Periscope;116130;3.8;31;4;27;12;4;8;1;7;12;2.8;3851;60
136;From the Journals of Jean Seberg;113125;7.6;9;9;0;100;0;3;3;0;100;4;30;75
137;Man of the Year;483726;4.4;141;30;111;21;5;35;11;24;31;3;29127;51
139;Hard Target;107076;5.2;29;14;15;48;5.6;7;4;3;57;0;0;0
140;Up Close & Personal;118055;5.1;31;10;21;32;6.5;6;3;3;50;3.2;2932;63
141;The Birdcage;115685;6.7;29;22;7;75;7.5;5;5;0;100;3.3;13502;75
143;Gospa;113200;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N;\N
144;The Brothers McMullen;112585;7.1;34;31;3;91;7.8;6;6;0;100;3.2;1225;55
145;Bad Boys;112442;4.8;41;16;25;39;3.7;9;1;8;11;3.5;67658;79
146;The Amazing Panda Adventure;112342;4.3;9;2;7;22;0;3;1;2;33;3;1335;46
147;The Basketball Diaries;112461;4.9;35;15;20;42;4.7;11;3;8;27;3.5;12119;77
148;An Awfully Big Adventure;112427;5.4;11;4;7;36;0;3;0;3;0;3.2;1433;55
149;The Moguls;405163;3.9;24;4;20;16;0;4;1;3;25;3;8865;46
150;Apollo 13;112384;8;51;49;2;96;7.9;11;10;1;90;3.6;30565;78
151;Rob Roy;114287;6.3;42;30;12;71;5.8;10;5;5;50;3.3;5253;73
152;Basic Instinct 2;430912;3.1;149;10;139;6;3.2;35;1;34;2;2.5;28208;33
153;Batman Forever;112462;5.2;54;23;31;42;5.9;14;10;4;71;2.9;47498;42
154;Belle de jour;61395;8.6;36;34;2;94;7.9;9;8;1;88;4;1378;84
155;Beyond Rangoon;112495;5.1;30;11;19;36;5;10;4;6;40;3.5;3962;64
156;Blue in the Face;112541;5.5;20;9;11;45;0;3;1;2;33;3.5;1323;73
157;Canadian Bacon;109370;3.3;14;2;12;14;0;2;0;2;0;2.9;3460;49
158;Casper;112642;4.7;34;14;20;41;4.5;10;3;7;30;3;20672;54
159;Clockers;112688;6.5;46;31;15;67;6.7;12;9;3;75;3.5;2502;74
160;Congo;112715;3.6;42;9;33;21;3.2;12;1;11;8;2.6;7008;34
161;Crimson Tide;112740;7.4;44;38;6;86;8;10;9;1;90;3.5;11550;77
162;Crumb;109508;8.3;39;37;2;94;0;4;4;0;100;4;2689;88
163;Desperado;112851;6.3;38;23;15;60;5.4;10;3;7;30;3.5;23821;79
164;Devil in a Blue Dress;112857;7.3;50;44;6;88;7;14;11;3;78;3.3;2742;64
165;Die Hard: With a Vengeance;112864;5.7;42;20;22;47;5.8;10;5;5;50;3.6;61394;83
